"Title","Public sector net borrowing, excluding public sector banks (£ million)"
"CDID","DZLS"
"Source dataset ID","PUSF"
"PreUnit","£"
"Unit","million"
"Release date","23-04-2020"
"Next release","20 May 2020"
"Important notes",
"1993",""
"1994",""
"1995",""
"1996",""
"1997","18062"
"1998","2728"
"1999","-7938"
"2000","-15901"
"2001","-1261"
"2002","25646"
"2003","44814"
"2004","46323"
"2005","46939"
"2006","42707"
"2007","42324"
"2008","89419"
"2009","160415"
"2010","146760"
"2011","122188"
"2012","132170"
"2013","106560"
"2014","103419"
"2015","86068"
"2016","66645"
"2017","52481"
"2018","46995"
"2019","42681"
"1993 Q1",""
"1993 Q2",""
"1993 Q3",""
"1993 Q4",""
"1994 Q1",""
"1994 Q2",""
"1994 Q3",""
"1994 Q4",""
"1995 Q1",""
"1995 Q2",""
"1995 Q3",""
"1995 Q4",""
"1996 Q1",""
"1996 Q2",""
"1996 Q3",""
"1996 Q4",""
"1997 Q1",""
"1997 Q2","10543"
"1997 Q3","5721"
"1997 Q4","-2554"
"1998 Q1","-4421"
"1998 Q2","8957"
"1998 Q3","848"
"1998 Q4","-2656"
"1999 Q1","-8191"
"1999 Q2","6276"
"1999 Q3","-1839"
"1999 Q4","-4184"
"2000 Q1","-11688"
"2000 Q2","-3605"
"2000 Q3","-4436"
"2000 Q4","3828"
"2001 Q1","-11475"
"2001 Q2","1509"
"2001 Q3","-1145"
"2001 Q4","9850"
"2002 Q1","-4837"
"2002 Q2","10262"
"2002 Q3","6195"
"2002 Q4","14026"
"2003 Q1","3628"
"2003 Q2","14522"
"2003 Q3","11837"
"2003 Q4","14827"
"2004 Q1","549"
"2004 Q2","16602"
"2004 Q3","12909"
"2004 Q4","16263"
"2005 Q1","3391"
"2005 Q2","14118"
"2005 Q3","11103"
"2005 Q4","18327"
"2006 Q1","720"
"2006 Q2","14083"
"2006 Q3","11904"
"2006 Q4","16000"
"2007 Q1","-1954"
"2007 Q2","13757"
"2007 Q3","12101"
"2007 Q4","18420"
"2008 Q1","1397"
"2008 Q2","22419"
"2008 Q3","26136"
"2008 Q4","39467"
"2009 Q1","29828"
"2009 Q2","42102"
"2009 Q3","38124"
"2009 Q4","50361"
"2010 Q1","27750"
"2010 Q2","35739"
"2010 Q3","36972"
"2010 Q4","46299"
"2011 Q1","21431"
"2011 Q2","33050"
"2011 Q3","29122"
"2011 Q4","38585"
"2012 Q1","21423"
"2012 Q2","45503"
"2012 Q3","26404"
"2012 Q4","38840"
"2013 Q1","14660"
"2013 Q2","31387"
"2013 Q3","25699"
"2013 Q4","34814"
"2014 Q1","13583"
"2014 Q2","31996"
"2014 Q3","25342"
"2014 Q4","32498"
"2015 Q1","7059"
"2015 Q2","28309"
"2015 Q3","23372"
"2015 Q4","27328"
"2016 Q1","2170"
"2016 Q2","25149"
"2016 Q3","19289"
"2016 Q4","20037"
"2017 Q1","-8453"
"2017 Q2","26941"
"2017 Q3","15383"
"2017 Q4","18610"
"2018 Q1","-4427"
"2018 Q2","19438"
"2018 Q3","12728"
"2018 Q4","19256"
"2019 Q1","-12101"
"2019 Q2","23484"
"2019 Q3","10641"
"2019 Q4","20657"
"2020 Q1","-6123"
"1993 JAN",""
"1993 FEB",""
"1993 MAR",""
"1993 APR",""
"1993 MAY",""
"1993 JUN",""
"1993 JUL",""
"1993 AUG",""
"1993 SEP",""
"1993 OCT",""
"1993 NOV",""
"1993 DEC",""
"1994 JAN",""
"1994 FEB",""
"1994 MAR",""
"1994 APR",""
"1994 MAY",""
"1994 JUN",""
"1994 JUL",""
"1994 AUG",""
"1994 SEP",""
"1994 OCT",""
"1994 NOV",""
"1994 DEC",""
"1995 JAN",""
"1995 FEB",""
"1995 MAR",""
"1995 APR",""
"1995 MAY",""
"1995 JUN",""
"1995 JUL",""
"1995 AUG",""
"1995 SEP",""
"1995 OCT",""
"1995 NOV",""
"1995 DEC",""
"1996 JAN",""
"1996 FEB",""
"1996 MAR",""
"1996 APR",""
"1996 MAY",""
"1996 JUN",""
"1996 JUL",""
"1996 AUG",""
"1996 SEP",""
"1996 OCT",""
"1996 NOV",""
"1996 DEC",""
"1997 JAN",""
"1997 FEB",""
"1997 MAR",""
"1997 APR","2748"
"1997 MAY","2933"
"1997 JUN","4862"
"1997 JUL","647"
"1997 AUG","2858"
"1997 SEP","2216"
"1997 OCT","-1543"
"1997 NOV","-1861"
"1997 DEC","850"
"1998 JAN","-7226"
"1998 FEB","311"
"1998 MAR","2494"
"1998 APR","1856"
"1998 MAY","3801"
"1998 JUN","3300"
"1998 JUL","-2693"
"1998 AUG","2012"
"1998 SEP","1529"
"1998 OCT","-6464"
"1998 NOV","2930"
"1998 DEC","878"
"1999 JAN","-6826"
"1999 FEB","-2140"
"1999 MAR","775"
"1999 APR","425"
"1999 MAY","3432"
"1999 JUN","2419"
"1999 JUL","-3405"
"1999 AUG","1509"
"1999 SEP","57"
"1999 OCT","-7321"
"1999 NOV","1710"
"1999 DEC","1427"
"2000 JAN","-9460"
"2000 FEB","-945"
"2000 MAR","-1283"
"2000 APR","2950"
"2000 MAY","-9261"
"2000 JUN","2706"
"2000 JUL","-3779"
"2000 AUG","3391"
"2000 SEP","-4048"
"2000 OCT","1012"
"2000 NOV","1265"
"2000 DEC","1551"
"2001 JAN","-6794"
"2001 FEB","-3697"
"2001 MAR","-984"
"2001 APR","-114"
"2001 MAY","1749"
"2001 JUN","-126"
"2001 JUL","-1806"
"2001 AUG","-822"
"2001 SEP","1483"
"2001 OCT","3187"
"2001 NOV","3446"
"2001 DEC","3217"
"2002 JAN","-4125"
"2002 FEB","-980"
"2002 MAR","268"
"2002 APR","2667"
"2002 MAY","3924"
"2002 JUN","3671"
"2002 JUL","-604"
"2002 AUG","2234"
"2002 SEP","4565"
"2002 OCT","3833"
"2002 NOV","5271"
"2002 DEC","4922"
"2003 JAN","-162"
"2003 FEB","2087"
"2003 MAR","1703"
"2003 APR","3405"
"2003 MAY","6465"
"2003 JUN","4652"
"2003 JUL","1610"
"2003 AUG","4254"
"2003 SEP","5973"
"2003 OCT","4289"
"2003 NOV","5453"
"2003 DEC","5085"
"2004 JAN","104"
"2004 FEB","22"
"2004 MAR","423"
"2004 APR","8005"
"2004 MAY","6280"
"2004 JUN","2317"
"2004 JUL","2450"
"2004 AUG","4533"
"2004 SEP","5926"
"2004 OCT","5099"
"2004 NOV","5844"
"2004 DEC","5320"
"2005 JAN","-1056"
"2005 FEB","2030"
"2005 MAR","2417"
"2005 APR","8794"
"2005 MAY","2621"
"2005 JUN","2703"
"2005 JUL","1239"
"2005 AUG","4463"
"2005 SEP","5401"
"2005 OCT","4693"
"2005 NOV","8053"
"2005 DEC","5581"
"2006 JAN","-3208"
"2006 FEB","2265"
"2006 MAR","1663"
"2006 APR","4781"
"2006 MAY","5249"
"2006 JUN","4053"
"2006 JUL","1171"
"2006 AUG","3704"
"2006 SEP","7029"
"2006 OCT","4175"
"2006 NOV","7214"
"2006 DEC","4611"
"2007 JAN","-5264"
"2007 FEB","-327"
"2007 MAR","3637"
"2007 APR","3831"
"2007 MAY","5453"
"2007 JUN","4473"
"2007 JUL","903"
"2007 AUG","5459"
"2007 SEP","5739"
"2007 OCT","6345"
"2007 NOV","6538"
"2007 DEC","5537"
"2008 JAN","-6315"
"2008 FEB","2468"
"2008 MAR","5244"
"2008 APR","7014"
"2008 MAY","8153"
"2008 JUN","7252"
"2008 JUL","3747"
"2008 AUG","8998"
"2008 SEP","13391"
"2008 OCT","11070"
"2008 NOV","12780"
"2008 DEC","15617"
"2009 JAN","6073"
"2009 FEB","10241"
"2009 MAR","13514"
"2009 APR","11255"
"2009 MAY","13978"
"2009 JUN","16869"
"2009 JUL","9443"
"2009 AUG","12146"
"2009 SEP","16535"
"2009 OCT","14769"
"2009 NOV","14281"
"2009 DEC","21311"
"2010 JAN","6591"
"2010 FEB","8686"
"2010 MAR","12473"
"2010 APR","9591"
"2010 MAY","13706"
"2010 JUN","12442"
"2010 JUL","9334"
"2010 AUG","11688"
"2010 SEP","15950"
"2010 OCT","14320"
"2010 NOV","14934"
"2010 DEC","17045"
"2011 JAN","253"
"2011 FEB","8642"
"2011 MAR","12536"
"2011 APR","12399"
"2011 MAY","10250"
"2011 JUN","10401"
"2011 JUL","5003"
"2011 AUG","9863"
"2011 SEP","14256"
"2011 OCT","13102"
"2011 NOV","11513"
"2011 DEC","13970"
"2012 JAN","-193"
"2012 FEB","9403"
"2012 MAR","12213"
"2012 APR","22247"
"2012 MAY","13633"
"2012 JUN","9623"
"2012 JUL","2699"
"2012 AUG","10362"
"2012 SEP","13343"
"2012 OCT","12318"
"2012 NOV","12400"
"2012 DEC","14122"
"2013 JAN","-1016"
"2013 FEB","6834"
"2013 MAR","8842"
"2013 APR","12175"
"2013 MAY","10083"
"2013 JUN","9129"
"2013 JUL","4113"
"2013 AUG","9095"
"2013 SEP","12491"
"2013 OCT","11761"
"2013 NOV","11881"
"2013 DEC","11172"
"2014 JAN","-682"
"2014 FEB","8546"
"2014 MAR","5719"
"2014 APR","13000"
"2014 MAY","10625"
"2014 JUN","8371"
"2014 JUL","3475"
"2014 AUG","8732"
"2014 SEP","13135"
"2014 OCT","11294"
"2014 NOV","9054"
"2014 DEC","12150"
"2015 JAN","-3891"
"2015 FEB","5621"
"2015 MAR","5329"
"2015 APR","12284"
"2015 MAY","7861"
"2015 JUN","8164"
"2015 JUL","2389"
"2015 AUG","9165"
"2015 SEP","11818"
"2015 OCT","10587"
"2015 NOV","9449"
"2015 DEC","7292"
"2016 JAN","-7102"
"2016 FEB","4834"
"2016 MAR","4438"
"2016 APR","12385"
"2016 MAY","7509"
"2016 JUN","5255"
"2016 JUL","922"
"2016 AUG","7515"
"2016 SEP","10852"
"2016 OCT","7842"
"2016 NOV","6988"
"2016 DEC","5207"
"2017 JAN","-9600"
"2017 FEB","-1040"
"2017 MAR","2187"
"2017 APR","12692"
"2017 MAY","7395"
"2017 JUN","6854"
"2017 JUL","118"
"2017 AUG","5361"
"2017 SEP","9904"
"2017 OCT","7873"
"2017 NOV","6466"
"2017 DEC","4271"
"2018 JAN","-7035"
"2018 FEB","1431"
"2018 MAR","1177"
"2018 APR","10408"
"2018 MAY","4727"
"2018 JUN","4303"
"2018 JUL","-2706"
"2018 AUG","6772"
"2018 SEP","8662"
"2018 OCT","8797"
"2018 NOV","5402"
"2018 DEC","5057"
"2019 JAN","-11810"
"2019 FEB","600"
"2019 MAR","-891"
"2019 APR","10912"
"2019 MAY","5497"
"2019 JUN","7075"
"2019 JUL","-1737"
"2019 AUG","4901"
"2019 SEP","7477"
"2019 OCT","10964"
"2019 NOV","4964"
"2019 DEC","4729"
"2020 JAN","-9963"
"2020 FEB","790"
"2020 MAR","3050"
